date,time,price
06.04.18,9:51:12.673375,70.65
06.04.18,9:51:20.909220,70.65
06.04.18,9:51:29.887439,70.65
06.04.18,9:51:39.427321,70.65
06.04.18,9:51:54.455689,70.65
06.04.18,9:52:03.671716,70.65
06.04.18,9:52:11.796735,70.65
06.04.18,9:52:17.615448,70.65
06.04.18,9:52:27.073966,70.65
06.04.18,9:52:33.252637,70.65
06.04.18,9:52:41.412762,70.65
06.04.18,9:52:49.709784,70.65
06.04.18,9:53:03.392368,70.65
06.04.18,9:53:11.720859,70.65
06.04.18,9:53:18.497056,70.65
06.04.18,9:53:25.133486,70.65
06.04.18,9:53:35.961502,70.65
06.04.18,9:53:47.424600,70.65
06.04.18,9:54:00.067306,70.65
06.04.18,9:54:05.912142,70.65
06.04.18,9:54:12.379451,70.65
06.04.18,9:54:18.626315,70.65
06.04.18,9:54:23.417754,70.65
06.04.18,9:54:28.386788,70.65
06.04.18,9:54:33.192517,70.65
06.04.18,9:54:38.661588,70.65
06.04.18,9:54:46.968870,70.65
06.04.18,9:54:52.836829,70.65
06.04.18,9:54:57.574368,70.65
06.04.18,9:55:02.857527,70.65
06.04.18,9:55:07.182469,70.65
06.04.18,9:55:12.504508,70.65
06.04.18,9:55:19.147230,70.65
06.04.18,9:55:24.344619,70.65
06.04.18,9:55:30.710262,70.65
06.04.18,9:55:35.009694,70.65
06.04.18,9:55:40.064919,70.65
06.04.18,9:55:44.698850,70.65
06.04.18,9:55:49.838242,70.65
06.04.18,9:55:54.479109,70.65
06.04.18,9:56:00.380801,70.65
06.04.18,9:56:06.282132,70.65
06.04.18,9:56:11.687413,70.65
06.04.18,9:56:16.628503,70.65
06.04.18,9:56:21.506480,70.65
06.04.18,9:56:26.347688,70.65
06.04.18,9:56:31.537517,70.65
06.04.18,9:56:36.096823,70.65
06.04.18,9:56:41.188435,70.65
06.04.18,9:56:45.848617,70.65
06.04.18,9:56:53.001745,70.65
06.04.18,9:56:59.382986,70.65
06.04.18,9:57:07.009426,70.65
06.04.18,9:57:14.931673,70.64
06.04.18,9:57:20.531992,70.64
06.04.18,9:57:28.332128,70.64
06.04.18,9:57:33.751626,70.64
06.04.18,9:57:40.056044,70.64
06.04.18,9:57:45.930375,70.64
06.04.18,9:57:51.653723,70.64
06.04.18,9:57:56.959631,70.64
06.04.18,9:58:03.462199,70.7
06.04.18,9:58:08.532699,70.7
06.04.18,9:58:15.047699,70.7
06.04.18,9:58:21.196057,70.7
06.04.18,9:58:29.191372,70.7
06.04.18,9:58:35.867868,70.7
06.04.18,9:58:40.317707,70.7
06.04.18,9:58:45.486221,70.7
06.04.18,9:58:51.899427,70.7
06.04.18,9:58:56.813360,70.7
06.04.18,9:59:04.138759,70.7
06.04.18,9:59:10.446691,70.6
06.04.18,9:59:15.915035,70.6
06.04.18,9:59:21.607062,70.6
06.04.18,9:59:27.276740,70.6
06.04.18,9:59:32.117825,70.6
06.04.18,9:59:37.312705,70.6
06.04.18,9:59:42.454836,70.6
06.04.18,9:59:48.124695,70.6
06.04.18,9:59:54.316660,70.6
06.04.18,9:59:58.758864,70.6
06.04.18,10:00:03.270679,70.6
06.04.18,10:00:09.858312,70.6
06.04.18,10:00:17.605408,70.6
06.04.18,10:00:23.201599,70.6
06.04.18,10:00:28.647634,70.6
06.04.18,10:00:32.883040,70.6
06.04.18,10:00:37.481712,70.6
06.04.18,10:00:42.619105,70.6
06.04.18,10:00:47.701131,70.6
06.04.18,10:00:55.810834,70.6
06.04.18,10:01:01.088207,70.6
06.04.18,10:01:05.777464,70.6
06.04.18,10:01:10.763777,70.75
06.04.18,10:01:16.137854,70.75
06.04.18,10:01:20.802874,70.75
06.04.18,10:01:27.975384,70.75
06.04.18,10:01:33.740049,70.75
06.04.18,10:01:39.029308,70.75
06.04.18,10:01:43.913812,70.75
06.04.18,10:01:49.350196,70.75
06.04.18,10:01:55.417139,70.8
06.04.18,10:02:00.304500,70.8
06.04.18,10:02:04.788725,70.8
06.04.18,10:02:09.617534,70.8
06.04.18,10:02:14.406628,70.8
06.04.18,10:02:20.101469,70.8
06.04.18,10:02:25.001526,70.8
06.04.18,10:02:29.413683,70.8
06.04.18,10:02:35.990625,70.8
06.04.18,10:02:44.777409,70.8
06.04.18,10:02:52.069875,70.8
06.04.18,10:02:57.104828,70.8
06.04.18,10:03:02.321590,70.8
06.04.18,10:03:08.480133,70.8
06.04.18,10:03:12.769536,70.8
06.04.18,10:03:18.145238,70.8
06.04.18,10:03:24.653449,70.8
06.04.18,10:03:30.629883,70.8
06.04.18,10:03:39.544796,70.8
06.04.18,10:03:51.262728,70.75
06.04.18,10:04:08.187316,70.75
06.04.18,10:04:13.754063,70.75
06.04.18,10:04:21.762274,70.75
06.04.18,10:04:30.925176,70.75
06.04.18,10:04:38.138409,70.75
06.04.18,10:04:43.975413,70.75
06.04.18,10:04:48.007654,70.75
06.04.18,10:04:53.582141,70.75
06.04.18,10:04:59.868335,70.75
06.04.18,10:05:05.685401,70.75
06.04.18,10:05:14.788249,70.75
06.04.18,10:05:18.690979,70.75
06.04.18,10:05:22.915574,70.75
06.04.18,10:05:32.626994,70.75
06.04.18,10:05:39.507235,70.75
06.04.18,10:05:50.678588,70.75
06.04.18,10:05:55.122053,70.75
06.04.18,10:06:00.037893,70.75
06.04.18,10:06:12.530105,70.7
06.04.18,10:06:19.815204,70.7
06.04.18,10:06:23.793605,70.7
06.04.18,10:06:28.291851,70.7
06.04.18,10:06:33.495134,70.7
06.04.18,10:06:38.291320,70.7
06.04.18,10:06:45.260266,70.7
06.04.18,10:06:50.394107,70.7
